Lion,05,noun.animal,
Tiger,05,noun.animal,
Elephant,05,noun.animal,
Giraffe,05,noun.animal,
Zebra,05,noun.animal,
Cheetah,05,noun.animal,
Gorilla,05,noun.animal,
Kangaroo,05,noun.animal,
Koala,05,noun.animal,
Panda,05,noun.animal,
Polar Bear,05,noun.animal,
Grizzly Bear,05,noun.animal,
Brown Bear,05,noun.animal,
Penguin,05,noun.animal,
Dolphin,05,noun.animal,
Whale,05,noun.animal,
Shark,05,noun.animal,
Octopus,05,noun.animal,
Jellyfish,05,noun.animal,
Turtle,05,noun.animal,
Crocodile,05,noun.animal,
Alligator,05,noun.animal,
Snake,05,noun.animal,
Frog,05,noun.animal,
Toad,05,noun.animal,
Salamander,05,noun.animal,
Eagle,05,noun.animal,
Hawk,05,noun.animal,
Falcon,05,noun.animal,
Owl,05,noun.animal,
Penguin,05,noun.animal,
Seagull,05,noun.animal,
Pigeon,05,noun.animal,
Peacock,05,noun.animal,
Parrot,05,noun.animal,
Toucan,05,noun.animal,
Hummingbird,05,noun.animal,
Pelican,05,noun.animal,
Flamingo,05,noun.animal,
Swan,05,noun.animal,
Duck,05,noun.animal,
Penguin,05,noun.animal,
Chicken,05,noun.animal,
Cow,05,noun.animal,
Horse,05,noun.animal,
Pig,05,noun.animal,
Sheep,05,noun.animal,
Goat,05,noun.animal,
Dog,05,noun.animal,
Cat,05,noun.animal,
Rabbit,05,noun.animal,
Mouse,05,noun.animal,
Rat,05,noun.animal,
Squirrel,05,noun.animal,
Hamster,05,noun.animal,
Guinea Pig,05,noun.animal,
Hedgehog,05,noun.animal,
Elephant Seal,05,noun.animal,
Walrus,05,noun.animal,
Beaver,05,noun.animal,
Platypus,05,noun.animal,
Kangaroo,05,noun.animal,
Koala,05,noun.animal,
Tasmanian Devil,05,noun.animal,
Ostrich,05,noun.animal,
Emu,05,noun.animal,
Komodo Dragon,05,noun.animal,
Iguana,05,noun.animal,
Chameleon,05,noun.animal,
Gecko,05,noun.animal,
Snail,05,noun.animal,
Slug,05,noun.animal,
Butterfly,05,noun.animal,
Dragonfly,05,noun.animal,
Bee,05,noun.animal,
Ant,05,noun.animal,
Grasshopper,05,noun.animal,
Ladybug,05,noun.animal,
Spider,05,noun.animal,
Scorpion,05,noun.animal,
Bat,05,noun.animal,
Sloth,05,noun.animal,
Armadillo,05,noun.animal,
Anteater,05,noun.animal,
Tapir,05,noun.animal,
Rhinoceros,05,noun.animal,
Hippopotamus,05,noun.animal,
Warthog,05,noun.animal,
Meerkat,05,noun.animal,
Lemur,05,noun.animal,
Chimpanzee,05,noun.animal,
Orangutan,05,noun.animal,
Baboon,05,noun.animal,
Gibbon,05,noun.animal,
Red Panda,05,noun.animal,
Koala,05,noun.animal,
Tasmanian Devil,05,noun.animal,
Wombat,05,noun.animal,
Quokka,05,noun.animal,
Platypus,05,noun.animal,
Chair,06,noun.artifact,
Table,06,noun.artifact,
Lamp,06,noun.artifact,
Book,06,noun.artifact,
Pen,06,noun.artifact,
Pencil,06,noun.artifact,
Notebook,06,noun.artifact,
Backpack,06,noun.artifact,
Smartphone,06,noun.artifact,
Laptop,06,noun.artifact,
Headphones,06,noun.artifact,
Glasses,06,noun.artifact,
Watch,06,noun.artifact,
Wallet,06,noun.artifact,
Keys,06,noun.artifact,
Mirror,06,noun.artifact,
Clock,06,noun.artifact,
Calendar,06,noun.artifact,
Mug,06,noun.artifact,
Plate,06,noun.artifact,
Fork,06,noun.artifact,
Knife,06,noun.artifact,
Spoon,06,noun.artifact,
Refrigerator,06,noun.artifact,
